depth_nm,value
0.00,6.357099e-03
0.50,6.372940e-03
1.00,6.414611e-03
1.50,6.480941e-03
2.00,6.570703e-03
2.50,6.682623e-03
3.00,6.815373e-03
3.50,6.967590e-03
4.00,7.137886e-03
4.50,7.324862e-03
5.00,7.527119e-03
5.50,7.743281e-03
6.00,7.971988e-03
6.50,8.211920e-03
7.00,8.461806e-03
7.50,8.720436e-03
8.00,8.986675e-03
8.50,9.259427e-03
9.00,9.537675e-03
9.50,9.820467e-03
10.00,1.010693e-02
10.50,1.039623e-02
11.00,1.068759e-02
11.50,1.098029e-02
12.00,1.127366e-02
12.50,1.156707e-02
13.00,1.185990e-02
13.50,1.215157e-02
14.00,1.244154e-02
14.50,1.272928e-02
15.00,1.301427e-02
15.50,1.329600e-02
16.00,1.357400e-02
16.50,1.384778e-02
17.00,1.411690e-02
17.50,1.438089e-02
18.00,1.463930e-02
18.50,1.489171e-02
19.00,1.513771e-02
19.50,1.537690e-02
20.00,1.560886e-02
20.50,1.583322e-02
21.00,1.604964e-02
21.50,1.625776e-02
22.00,1.645725e-02
22.50,1.664778e-02
23.00,1.682908e-02
23.50,1.700088e-02
24.00,1.716291e-02
24.50,1.731494e-02
25.00,1.745674e-02
25.50,1.758816e-02
26.00,1.770900e-02
26.50,1.781912e-02
27.00,1.791838e-02
27.50,1.800670e-02
28.00,1.808399e-02
28.50,1.815018e-02
29.00,1.820524e-02
29.50,1.824915e-02
30.00,1.828195e-02
30.50,1.830362e-02
31.00,1.831423e-02
31.50,1.831541e-02
32.00,1.830957e-02
32.50,1.829289e-02
33.00,1.826548e-02
33.50,1.822747e-02
34.00,1.817901e-02
34.50,1.812031e-02
35.00,1.805153e-02
35.50,1.797288e-02
36.00,1.788456e-02
36.50,1.778684e-02
37.00,1.767995e-02
37.50,1.756414e-02
38.00,1.743968e-02
38.50,1.730688e-02
39.00,1.716600e-02
39.50,1.701736e-02
40.00,1.686123e-02
40.50,1.669796e-02
41.00,1.652788e-02
41.50,1.635128e-02
42.00,1.616850e-02
42.50,1.597986e-02
43.00,1.578574e-02
43.50,1.558644e-02
44.00,1.538229e-02
44.50,1.517363e-02
45.00,1.496082e-02
45.50,1.474417e-02
46.00,1.452402e-02
46.50,1.430069e-02
47.00,1.407451e-02
47.50,1.384581e-02
48.00,1.361490e-02
48.50,1.338206e-02
49.00,1.314763e-02
49.50,1.291191e-02
50.00,1.267516e-02
50.50,1.243767e-02
51.00,1.219972e-02
51.50,1.196159e-02
52.00,1.172352e-02
52.50,1.148575e-02
53.00,1.124853e-02
53.50,1.101211e-02
54.00,1.077669e-02
54.50,1.054248e-02
55.00,1.030968e-02
55.50,1.007849e-02
56.00,9.849106e-03
56.50,9.621677e-03
57.00,9.396371e-03
57.50,9.173351e-03
58.00,8.952762e-03
58.50,8.734727e-03
59.00,8.519374e-03
59.50,8.306822e-03
60.00,8.097186e-03
60.50,7.890551e-03
61.00,7.687006e-03
61.50,7.486637e-03
62.00,7.289524e-03
62.50,7.095720e-03
63.00,6.905282e-03
63.50,6.718259e-03
64.00,6.534706e-03
64.50,6.354646e-03
65.00,6.178105e-03
65.50,6.005106e-03
66.00,5.835675e-03
66.50,5.669813e-03
67.00,5.507521e-03
67.50,5.348800e-03
68.00,5.193649e-03
68.50,5.042053e-03
69.00,4.893993e-03
69.50,4.749450e-03
70.00,4.608404e-03
70.50,4.470827e-03
71.00,4.336682e-03
71.50,4.205936e-03
72.00,4.078555e-03
72.50,3.954499e-03
73.00,3.833722e-03
73.50,3.716177e-03
74.00,3.601821e-03
74.50,3.490606e-03
75.00,3.382477e-03
75.50,3.277381e-03
76.00,3.175268e-03
76.50,3.076085e-03
77.00,2.979771e-03
77.50,2.886269e-03
78.00,2.795526e-03
78.50,2.707484e-03
79.00,2.622082e-03
79.50,2.539261e-03
80.00,2.458964e-03
80.50,2.381136e-03
81.00,2.305712e-03
81.50,2.232636e-03
82.00,2.161849e-03
82.50,2.093298e-03
83.00,2.026920e-03
83.50,1.962658e-03
84.00,1.900457e-03
84.50,1.840265e-03
85.00,1.782022e-03
85.50,1.725674e-03
86.00,1.671168e-03
86.50,1.618454e-03
87.00,1.567477e-03
87.50,1.518186e-03
88.00,1.470530e-03
88.50,1.424464e-03
89.00,1.379937e-03
89.50,1.336900e-03
90.00,1.295308e-03
90.50,1.255118e-03
91.00,1.216283e-03
91.50,1.178760e-03
92.00,1.142506e-03
92.50,1.107483e-03
93.00,1.073648e-03
93.50,1.040963e-03
94.00,1.009388e-03
94.50,9.788883e-04
95.00,9.494265e-04
95.50,9.209669e-04
96.00,8.934752e-04
96.50,8.669201e-04
97.00,8.412676e-04
97.50,8.164863e-04
98.00,7.925456e-04
98.50,7.694178e-04
99.00,7.470727e-04
99.50,7.254826e-04
100.00,7.046205e-04
100.50,6.844619e-04
101.00,6.649804e-04
101.50,6.461513e-04
102.00,6.279513e-04
102.50,6.103587e-04
103.00,5.933504e-04
103.50,5.769051e-04
104.00,5.610021e-04
104.50,5.456226e-04
105.00,5.307467e-04
105.50,5.163556e-04
106.00,5.024315e-04
106.50,4.889582e-04
107.00,4.759182e-04
107.50,4.632954e-04
108.00,4.510744e-04
108.50,4.392411e-04
109.00,4.277806e-04
109.50,4.166789e-04
110.00,4.059227e-04
110.50,3.955001e-04
111.00,3.853982e-04
111.50,3.756049e-04
112.00,3.661089e-04
112.50,3.568998e-04
113.00,3.479668e-04
113.50,3.392995e-04
114.00,3.308882e-04
114.50,3.227241e-04
115.00,3.147980e-04
115.50,3.071008e-04
116.00,2.996244e-04
116.50,2.923614e-04
117.00,2.853037e-04
117.50,2.784439e-04
118.00,2.717750e-04
118.50,2.652905e-04
119.00,2.589838e-04
119.50,2.528485e-04
120.00,2.468786e-04
120.50,2.410686e-04
121.00,2.354132e-04
121.50,2.299066e-04
122.00,2.245438e-04
122.50,2.193204e-04
123.00,2.142316e-04
123.50,2.092726e-04
124.00,2.044392e-04
124.50,1.997276e-04
125.00,1.951339e-04
125.50,1.906539e-04
126.00,1.862841e-04
126.50,1.820211e-04
127.00,1.778618e-04
127.50,1.738027e-04
128.00,1.698407e-04
128.50,1.659730e-04
129.00,1.621969e-04
129.50,1.585095e-04
130.00,1.549081e-04
130.50,1.513904e-04
131.00,1.479542e-04
131.50,1.445968e-04
132.00,1.413162e-04
132.50,1.381103e-04
133.00,1.349773e-04
133.50,1.319151e-04
134.00,1.289219e-04
134.50,1.259961e-04
135.00,1.231363e-04
135.50,1.203409e-04
136.00,1.176086e-04
136.50,1.149382e-04
137.00,1.123290e-04
137.50,1.097799e-04
138.00,1.072905e-04
138.50,1.048603e-04
139.00,1.024895e-04
139.50,1.001783e-04
140.00,9.792700e-05
140.50,9.573674e-05
141.00,9.360910e-05
141.50,9.154566e-05
142.00,8.954873e-05
142.50,8.762112e-05
