depth_nm,value
0.00,5.826567e-04
0.50,6.325675e-04
1.00,7.043340e-04
1.50,7.860362e-04
2.00,8.761772e-04
2.50,9.749651e-04
3.00,1.082896e-03
3.50,1.200512e-03
4.00,1.328358e-03
4.50,1.466969e-03
5.00,1.616867e-03
5.50,1.778553e-03
6.00,1.952503e-03
6.50,2.139162e-03
7.00,2.338937e-03
7.50,2.552191e-03
8.00,2.779238e-03
8.50,3.020339e-03
9.00,3.275691e-03
9.50,3.545427e-03
10.00,3.829612e-03
10.50,4.128234e-03
11.00,4.441205e-03
11.50,4.768354e-03
12.00,5.109428e-03
12.50,5.464093e-03
13.00,5.831927e-03
13.50,6.212423e-03
14.00,6.604993e-03
14.50,7.008966e-03
15.00,7.423593e-03
15.50,7.848049e-03
16.00,8.281439e-03
16.50,8.722800e-03
17.00,9.171113e-03
17.50,9.625300e-03
18.00,1.008424e-02
18.50,1.054676e-02
19.00,1.101167e-02
19.50,1.147775e-02
20.00,1.194375e-02
20.50,1.240843e-02
21.00,1.287053e-02
21.50,1.332880e-02
22.00,1.378201e-02
22.50,1.422895e-02
23.00,1.466842e-02
23.50,1.509928e-02
24.00,1.552040e-02
24.50,1.593072e-02
25.00,1.632922e-02
25.50,1.671493e-02
26.00,1.708694e-02
26.50,1.744441e-02
27.00,1.778656e-02
27.50,1.811267e-02
28.00,1.842211e-02
28.50,1.871429e-02
29.00,1.898872e-02
29.50,1.924496e-02
30.00,1.948265e-02
30.50,1.970149e-02
31.00,1.990127e-02
31.50,2.008183e-02
32.00,2.024308e-02
32.50,2.038500e-02
33.00,2.050761e-02
33.50,2.061101e-02
34.00,2.069536e-02
34.50,2.076085e-02
35.00,2.080773e-02
35.50,2.083632e-02
36.00,2.084693e-02
36.50,2.084562e-02
37.00,2.083002e-02
37.50,2.079749e-02
38.00,2.074848e-02
38.50,2.068349e-02
39.00,2.060305e-02
39.50,2.050769e-02
40.00,2.039799e-02
40.50,2.027452e-02
41.00,2.013786e-02
41.50,1.998863e-02
42.00,1.982743e-02
42.50,1.965487e-02
43.00,1.947157e-02
43.50,1.927816e-02
44.00,1.907524e-02
44.50,1.886342e-02
45.00,1.864332e-02
45.50,1.841554e-02
46.00,1.818066e-02
46.50,1.793927e-02
47.00,1.769193e-02
47.50,1.743921e-02
48.00,1.718165e-02
48.50,1.691976e-02
49.00,1.665408e-02
49.50,1.638510e-02
50.00,1.611329e-02
50.50,1.583913e-02
51.00,1.556305e-02
51.50,1.528549e-02
52.00,1.500687e-02
52.50,1.472757e-02
53.00,1.444796e-02
53.50,1.416841e-02
54.00,1.388926e-02
54.50,1.361083e-02
55.00,1.333342e-02
55.50,1.305732e-02
56.00,1.278280e-02
56.50,1.251010e-02
57.00,1.223948e-02
57.50,1.197115e-02
58.00,1.170532e-02
58.50,1.144217e-02
59.00,1.118187e-02
59.50,1.092461e-02
60.00,1.067051e-02
60.50,1.041972e-02
61.00,1.017235e-02
61.50,9.928518e-03
62.00,9.688321e-03
62.50,9.451842e-03
63.00,9.219159e-03
63.50,8.990338e-03
64.00,8.765435e-03
64.50,8.544495e-03
65.00,8.327557e-03
65.50,8.114651e-03
66.00,7.905799e-03
66.50,7.701015e-03
67.00,7.500306e-03
67.50,7.303674e-03
68.00,7.111115e-03
68.50,6.922617e-03
69.00,6.738163e-03
69.50,6.557733e-03
70.00,6.381303e-03
70.50,6.208842e-03
