depth_nm,value
0.00,5.766305e-04
0.50,6.262912e-04
1.00,6.977052e-04
1.50,7.790198e-04
2.00,8.687436e-04
2.50,9.670892e-04
3.00,1.074548e-03
3.50,1.191665e-03
4.00,1.318982e-03
4.50,1.457035e-03
5.00,1.606345e-03
5.50,1.767416e-03
6.00,1.940722e-03
6.50,2.126709e-03
7.00,2.325784e-03
7.50,2.538312e-03
8.00,2.764608e-03
8.50,3.004932e-03
9.00,3.259484e-03
9.50,3.528399e-03
10.00,3.811742e-03
10.50,4.109506e-03
11.00,4.421601e-03
11.50,4.747858e-03
12.00,5.088026e-03
12.50,5.441771e-03
13.00,5.808677e-03
13.50,6.188239e-03
14.00,6.579866e-03
14.50,6.982888e-03
15.00,7.396568e-03
15.50,7.820074e-03
16.00,8.252511e-03
16.50,8.692930e-03
17.00,9.140302e-03
17.50,9.593550e-03
18.00,1.005157e-02
18.50,1.051317e-02
19.00,1.097719e-02
19.50,1.144238e-02
20.00,1.190751e-02
20.50,1.237134e-02
21.00,1.283261e-02
21.50,1.329008e-02
22.00,1.374250e-02
22.50,1.418868e-02
23.00,1.462741e-02
23.50,1.505757e-02
24.00,1.547801e-02
24.50,1.588768e-02
25.00,1.628556e-02
25.50,1.667068e-02
26.00,1.704214e-02
26.50,1.739909e-02
27.00,1.774076e-02
27.50,1.806643e-02
28.00,1.837545e-02
28.50,1.866726e-02
29.00,1.894134e-02
29.50,1.919729e-02
30.00,1.943471e-02
30.50,1.965332e-02
31.00,1.985292e-02
31.50,2.003332e-02
32.00,2.019445e-02
32.50,2.033628e-02
33.00,2.045884e-02
33.50,2.056223e-02
34.00,2.064661e-02
34.50,2.071215e-02
35.00,2.075912e-02
35.50,2.078783e-02
36.00,2.079860e-02
36.50,2.079738e-02
37.00,2.078199e-02
37.50,2.074968e-02
38.00,2.070093e-02
38.50,2.063623e-02
39.00,2.055611e-02
39.50,2.046109e-02
40.00,2.035175e-02
40.50,2.022868e-02
41.00,2.009243e-02
41.50,1.994363e-02
42.00,1.978289e-02
42.50,1.961081e-02
43.00,1.942800e-02
43.50,1.923510e-02
44.00,1.903271e-02
44.50,1.882144e-02
45.00,1.860189e-02
45.50,1.837468e-02
46.00,1.814038e-02
46.50,1.789958e-02
47.00,1.765284e-02
47.50,1.740073e-02
48.00,1.714378e-02
48.50,1.688252e-02
49.00,1.661746e-02
49.50,1.634912e-02
50.00,1.607794e-02
50.50,1.580441e-02
51.00,1.552898e-02
51.50,1.525207e-02
52.00,1.497409e-02
52.50,1.469542e-02
53.00,1.441647e-02
53.50,1.413756e-02
54.00,1.385904e-02
54.50,1.358124e-02
55.00,1.330447e-02
55.50,1.302899e-02
56.00,1.275508e-02
56.50,1.248301e-02
57.00,1.221300e-02
57.50,1.194528e-02
58.00,1.168004e-02
58.50,1.141748e-02
59.00,1.115777e-02
59.50,1.090108e-02
60.00,1.064755e-02
60.50,1.039732e-02
61.00,1.015050e-02
61.50,9.907210e-03
62.00,9.667549e-03
62.50,9.431596e-03
63.00,9.199428e-03
63.50,8.971112e-03
64.00,8.746708e-03
64.50,8.526256e-03
65.00,8.309794e-03
65.50,8.097357e-03
66.00,7.888965e-03
66.50,7.684630e-03
67.00,7.484358e-03
67.50,7.288159e-03
68.00,7.096021e-03
68.50,6.907932e-03
69.00,6.723878e-03
69.50,6.543843e-03
70.00,6.367795e-03
70.50,6.195706e-03
71.00,6.027543e-03
71.50,5.863271e-03
72.00,5.702846e-03
72.50,5.546225e-03
73.00,5.393364e-03
73.50,5.244215e-03
74.00,5.098724e-03
74.50,4.956838e-03
75.00,4.818507e-03
75.50,4.683673e-03
76.00,4.552276e-03
76.50,4.424259e-03
77.00,4.299566e-03
77.50,4.178132e-03
78.00,4.059898e-03
78.50,3.944801e-03
79.00,3.832784e-03
79.50,3.723780e-03
80.00,3.617729e-03
80.50,3.514567e-03
81.00,3.414236e-03
81.50,3.316671e-03
82.00,3.221811e-03
82.50,3.129595e-03
83.00,3.039963e-03
83.50,2.952855e-03
84.00,2.868210e-03
84.50,2.785969e-03
85.00,2.706075e-03
85.50,2.628470e-03
86.00,2.553097e-03
86.50,2.479899e-03
87.00,2.408821e-03
87.50,2.339811e-03
88.00,2.272814e-03
88.50,2.207776e-03
89.00,2.144647e-03
89.50,2.083376e-03
90.00,2.023914e-03
90.50,1.966212e-03
91.00,1.910220e-03
91.50,1.855894e-03
92.00,1.803186e-03
92.50,1.752053e-03
93.00,1.702450e-03
93.50,1.654334e-03
94.00,1.607664e-03
94.50,1.562397e-03
95.00,1.518496e-03
95.50,1.475919e-03
96.00,1.434629e-03
96.50,1.394589e-03
97.00,1.355762e-03
97.50,1.318114e-03
98.00,1.281609e-03
98.50,1.246214e-03
99.00,1.211896e-03
99.50,1.178623e-03
100.00,1.146364e-03
100.50,1.115089e-03
101.00,1.084769e-03
101.50,1.055374e-03
102.00,1.026877e-03
102.50,9.992513e-04
103.00,9.724696e-04
103.50,9.465071e-04
104.00,9.213385e-04
104.50,8.969394e-04
105.00,8.732865e-04
105.50,8.503568e-04
106.00,8.281282e-04
106.50,8.065792e-04
107.00,7.856890e-04
107.50,7.654371e-04
108.00,7.458036e-04
108.50,7.267695e-04
109.00,7.083161e-04
109.50,6.904254e-04
110.00,6.730800e-04
110.50,6.562631e-04
111.00,6.399579e-04
111.50,6.241484e-04
112.00,6.088191e-04
112.50,5.939551e-04
113.00,5.795417e-04
113.50,5.655649e-04
114.00,5.520111e-04
114.50,5.388668e-04
115.00,5.261190e-04
115.50,5.137554e-04
116.00,5.017638e-04
116.50,4.901326e-04
117.00,4.788505e-04
117.50,4.679063e-04
118.00,4.572894e-04
118.50,4.469894e-04
119.00,4.369963e-04
119.50,4.273004e-04
120.00,4.178924e-04
120.50,4.087632e-04
121.00,3.999038e-04
121.50,3.913058e-04
122.00,3.829608e-04
122.50,3.748608e-04
123.00,3.669981e-04
123.50,3.593654e-04
124.00,3.519551e-04
124.50,3.447602e-04
125.00,3.377738e-04
125.50,3.309895e-04
126.00,3.244007e-04
126.50,3.180015e-04
127.00,3.117857e-04
127.50,3.057474e-04
128.00,2.998810e-04
128.50,2.941811e-04
129.00,2.886427e-04
129.50,2.832603e-04
130.00,2.780291e-04
130.50,2.729443e-04
131.00,2.680012e-04
131.50,2.631956e-04
132.00,2.585229e-04
132.50,2.539790e-04
133.00,2.495597e-04
133.50,2.452612e-04
134.00,2.410797e-04
134.50,2.370115e-04
135.00,2.330529e-04
135.50,2.292005e-04
136.00,2.254512e-04
136.50,2.218015e-04
137.00,2.182482e-04
137.50,2.147884e-04
138.00,2.114193e-04
138.50,2.081378e-04
139.00,2.049412e-04
139.50,2.018269e-04
140.00,1.987924e-04
140.50,1.958351e-04
141.00,1.929524e-04
141.50,1.901422e-04
142.00,1.874023e-04
142.50,1.847302e-04
143.00,1.821239e-04
143.50,1.795813e-04
144.00,1.771006e-04
144.50,1.746795e-04
145.00,1.723164e-04
145.50,1.700093e-04
146.00,1.677565e-04
146.50,1.655563e-04
147.00,1.634069e-04
147.50,1.613069e-04
148.00,1.592546e-04
148.50,1.572493e-04
149.00,1.552933e-04
149.50,1.534087e-04
150.00,1.517403e-04
